date,entity,metric,value,user_id
2015-03-02,treatment_group,consolidated_volume,17226043.07,888
2015-03-03,treatment_group,consolidated_volume,19846044.57,888
2015-03-04,treatment_group,consolidated_volume,18793330.57,888
2015-03-05,treatment_group,consolidated_volume,16745379.43,888
2015-03-06,treatment_group,consolidated_volume,23578206.14,888
2015-03-09,treatment_group,consolidated_volume,17385166.57,888
2015-03-10,treatment_group,consolidated_volume,20220697.71,888
2015-03-11,treatment_group,consolidated_volume,16717873.5,888
2015-03-12,treatment_group,consolidated_volume,20133348.86,888
2015-03-13,treatment_group,consolidated_volume,20172801.21,888
2015-03-16,treatment_group,consolidated_volume,15817654.29,888
2015-03-17,treatment_group,consolidated_volume,19384035.36,888
2015-03-18,treatment_group,consolidated_volume,24715994.43,888
2015-03-19,treatment_group,consolidated_volume,21505485.14,888
2015-03-20,treatment_group,consolidated_volume,22817284.07,888
2015-03-23,treatment_group,consolidated_volume,16649301.71,888
2015-03-24,treatment_group,consolidated_volume,19689230.14,888
2015-03-25,treatment_group,consolidated_volume,24475338.79,888
2015-03-26,treatment_group,consolidated_volume,20757625.21,888
2015-03-27,treatment_group,consolidated_volume,17346199.07,888
2015-03-30,treatment_group,consolidated_volume,17432721.64,888
2015-03-31,treatment_group,consolidated_volume,17424871,888
2015-04-01,treatment_group,consolidated_volume,20772362.14,888
2015-04-02,treatment_group,consolidated_volume,19135625.93,888
2015-04-06,treatment_group,consolidated_volume,17630763.36,888
2015-04-07,treatment_group,consolidated_volume,16392451.29,888
2015-04-08,treatment_group,consolidated_volume,21801915.93,888
2015-04-09,treatment_group,consolidated_volume,27794805.64,888
2015-04-10,treatment_group,consolidated_volume,40163811.86,888
2015-04-13,treatment_group,consolidated_volume,22767633.29,888
2015-04-14,treatment_group,consolidated_volume,19519046.86,888
2015-04-15,treatment_group,consolidated_volume,22155323.29,888
2015-04-16,treatment_group,consolidated_volume,21333688.57,888
2015-04-17,treatment_group,consolidated_volume,22253718.21,888
2015-04-20,treatment_group,consolidated_volume,17949531.5,888
2015-04-21,treatment_group,consolidated_volume,20172684.43,888
2015-04-22,treatment_group,consolidated_volume,18644662.86,888
2015-04-23,treatment_group,consolidated_volume,15257001.29,888
2015-04-24,treatment_group,consolidated_volume,14271123.86,888
2015-04-27,treatment_group,consolidated_volume,14484480.07,888
2015-04-28,treatment_group,consolidated_volume,20013765,888
2015-04-29,treatment_group,consolidated_volume,31272714.57,888
2015-04-30,treatment_group,consolidated_volume,22923380.21,888
2015-05-01,treatment_group,consolidated_volume,19553230.57,888
2015-05-04,treatment_group,consolidated_volume,19107988.64,888
2015-05-05,treatment_group,consolidated_volume,23961803,888
2015-05-06,treatment_group,consolidated_volume,24021119,888
2015-05-07,treatment_group,consolidated_volume,21503854.43,888
2015-05-08,treatment_group,consolidated_volume,19653606.79,888
2015-05-11,treatment_group,consolidated_volume,15047484.14,888
2015-05-12,treatment_group,consolidated_volume,14593166.07,888
2015-05-13,treatment_group,consolidated_volume,17144182.64,888
2015-05-14,treatment_group,consolidated_volume,16207687.29,888
2015-05-15,treatment_group,consolidated_volume,18539510.71,888
2015-05-18,treatment_group,consolidated_volume,13509561.21,888
2015-05-19,treatment_group,consolidated_volume,17871887.5,888
2015-05-20,treatment_group,consolidated_volume,19851545.86,888
2015-05-21,treatment_group,consolidated_volume,16305110.43,888
2015-05-22,treatment_group,consolidated_volume,13037218.57,888
2015-05-26,treatment_group,consolidated_volume,18135395.36,888
2015-05-27,treatment_group,consolidated_volume,16438673.14,888
2015-05-28,treatment_group,consolidated_volume,18496920,888
2015-05-29,treatment_group,consolidated_volume,16427839.71,888
2015-06-01,treatment_group,consolidated_volume,16781353.21,888
2015-06-02,treatment_group,consolidated_volume,15941064.21,888
2015-06-03,treatment_group,consolidated_volume,18613760.64,888
2015-06-04,treatment_group,consolidated_volume,18674917.36,888
2015-06-05,treatment_group,consolidated_volume,18815116.36,888
2015-06-08,treatment_group,consolidated_volume,16179005.43,888
2015-06-09,treatment_group,consolidated_volume,19386059.43,888
2015-06-10,treatment_group,consolidated_volume,18388034.07,888
2015-06-11,treatment_group,consolidated_volume,17833070.07,888
2015-06-12,treatment_group,consolidated_volume,18440631.14,888
2015-06-15,treatment_group,consolidated_volume,19822211.79,888
2015-06-16,treatment_group,consolidated_volume,17278158.71,888
2015-06-17,treatment_group,consolidated_volume,20826834.07,888
2015-06-18,treatment_group,consolidated_volume,24599935.57,888
2015-06-19,treatment_group,consolidated_volume,19888546.43,888
2015-06-22,treatment_group,consolidated_volume,15470893.21,888
2015-06-23,treatment_group,consolidated_volume,16611652.21,888
2015-06-24,treatment_group,consolidated_volume,13792637.64,888
2015-06-25,treatment_group,consolidated_volume,15755946.71,888
2015-06-26,treatment_group,consolidated_volume,22334423.79,888
2015-06-29,treatment_group,consolidated_volume,21728317.57,888
2015-06-30,treatment_group,consolidated_volume,19154077.07,888
2015-07-01,treatment_group,consolidated_volume,18332526.71,888
2015-07-02,treatment_group,consolidated_volume,14720839.21,888
2015-07-06,treatment_group,consolidated_volume,18096901.86,888
2015-07-07,treatment_group,consolidated_volume,23233807.86,888
2015-07-08,treatment_group,consolidated_volume,19292458,888
2015-07-09,treatment_group,consolidated_volume,22095124.71,888
2015-07-10,treatment_group,consolidated_volume,17587167.79,888
2015-07-13,treatment_group,consolidated_volume,17688520.07,888
2015-07-14,treatment_group,consolidated_volume,25699156.79,888
2015-07-15,treatment_group,consolidated_volume,26435254.14,888
2015-07-16,treatment_group,consolidated_volume,22639179.36,888
2015-07-17,treatment_group,consolidated_volume,21350160.36,888
2015-07-20,treatment_group,consolidated_volume,16756530.5,888
2015-07-21,treatment_group,consolidated_volume,17733284.64,888
2015-07-22,treatment_group,consolidated_volume,22550927.93,888
2015-07-23,treatment_group,consolidated_volume,23489560.64,888
2015-07-24,treatment_group,consolidated_volume,21971566.36,888
2015-07-27,treatment_group,consolidated_volume,26369902.14,888
2015-07-28,treatment_group,consolidated_volume,28029345.07,888
2015-07-29,treatment_group,consolidated_volume,27372477.57,888
2015-07-30,treatment_group,consolidated_volume,19454606.79,888
2015-07-31,treatment_group,consolidated_volume,19971278.43,888
2014-12-01,treatment_group,nasdaq_mktshare,15.08834073,888
2014-12-02,treatment_group,nasdaq_mktshare,13.59439789,888
2014-12-03,treatment_group,nasdaq_mktshare,14.11037959,888
2014-12-04,treatment_group,nasdaq_mktshare,15.16702804,888
2014-12-05,treatment_group,nasdaq_mktshare,14.81966865,888
2014-12-08,treatment_group,nasdaq_mktshare,15.37805816,888
2014-12-09,treatment_group,nasdaq_mktshare,16.59627394,888
